date,state,death
2/19/2021,CT,7523
2/19/2021,DC,993
2/19/2021,DE,1343
2/19/2021,FL,30214
2/19/2021,GA,16610
2/19/2021,GU,130
2/19/2021,HI,430
2/19/2021,IA,5336
2/19/2021,ID,1826
2/19/2021,IL,22368
2/19/2021,IN,12325
2/19/2021,KS,4614
2/19/2021,KY,4401
2/19/2021,LA,9440
2/19/2021,MA,15726
2/19/2021,MD,7677
2/19/2021,ME,656
2/19/2021,MI,16274
2/19/2021,MN,6412
2/19/2021,MO,7709
2/19/2021,MP,2
2/19/2021,MS,6534
2/19/2021,MT,1339
2/19/2021,NC,10820
2/19/2021,ND,1465
2/19/2021,NE,2043
2/19/2021,NH,1152
2/19/2021,NJ,22784
2/19/2021,NM,3599
2/19/2021,NV,4831
2/19/2021,NY,37675
2/19/2021,OH,16693
2/19/2021,OK,4132
2/19/2021,OR,2149
2/19/2021,PA,23480
2/19/2021,PR,1947
2/19/2021,RI,2376
2/19/2021,SC,8213
2/19/2021,SD,1853
2/19/2021,TN,11064
2/19/2021,TX,40986
2/19/2021,UT,1834
2/19/2021,VA,7098
2/19/2021,VI,25
2/19/2021,VT,193
2/19/2021,WA,4803
2/19/2021,WI,6852
2/19/2021,WV,2248
2/19/2021,WY,662
2/18/2021,AK,288
2/18/2021,AL,9424
2/18/2021,AR,5323
2/18/2021,AS,0
2/18/2021,AZ,15276
2/18/2021,CA,47924
2/18/2021,CO,5864
2/18/2021,CT,7496
2/18/2021,DC,992
2/18/2021,DE,1326
2/18/2021,FL,29990
2/18/2021,GA,16403
2/18/2021,GU,130
2/18/2021,HI,428
2/18/2021,IA,5321
2/18/2021,ID,1817
2/18/2021,IL,22297
2/18/2021,IN,12281
2/18/2021,KS,4521
2/18/2021,KY,4373
2/18/2021,LA,9406
2/18/2021,MA,15686
2/18/2021,MD,7661
2/18/2021,ME,655
2/18/2021,MI,16251
2/18/2021,MN,6404
2/18/2021,MO,7695
2/18/2021,MP,2
2/18/2021,MS,6531
2/18/2021,MT,1337
2/18/2021,NC,10766
2/18/2021,ND,1465
2/18/2021,NE,2025
2/18/2021,NH,1150
2/18/2021,NJ,22721
2/18/2021,NM,3580
2/18/2021,NV,4805
2/18/2021,NY,37556
2/18/2021,OH,16611
2/18/2021,OK,4112
2/18/2021,OR,2143
2/18/2021,PA,23413
2/18/2021,PR,1940
2/18/2021,RI,2367
2/18/2021,SC,8155
2/18/2021,SD,1847
2/18/2021,TN,11057
2/18/2021,TX,40814
2/18/2021,UT,1813
2/18/2021,VA,7090
2/18/2021,VI,25
2/18/2021,VT,193
2/18/2021,WA,4759
2/18/2021,WI,6816
2/18/2021,WV,2236
2/18/2021,WY,662
2/17/2021,AK,288
2/17/2021,AL,9346
2/17/2021,AR,5313
2/17/2021,AS,0
2/17/2021,AZ,15063
2/17/2021,CA,47507
2/17/2021,CO,5838
2/17/2021,CT,7476
2/17/2021,DC,985
2/17/2021,DE,1316
2/17/2021,FL,29824
2/17/2021,GA,16273
2/17/2021,GU,130
2/17/2021,HI,427
2/17/2021,IA,5306
2/17/2021,ID,1806
2/17/2021,IL,22224
2/17/2021,IN,12250
2/17/2021,KS,4521
2/17/2021,KY,4336
2/17/2021,LA,9391
2/17/2021,MA,15623
2/17/2021,MD,7630
2/17/2021,ME,654
2/17/2021,MI,16160
2/17/2021,MN,6390
2/17/2021,MO,7470
2/17/2021,MP,2
2/17/2021,MS,6524
2/17/2021,MT,1334
2/17/2021,NC,10670
2/17/2021,ND,1461
2/17/2021,NE,2018
2/17/2021,NH,1148
2/17/2021,NJ,22632
2/17/2021,NM,3562
2/17/2021,NV,4774
2/17/2021,NY,37440
2/17/2021,OH,16513
2/17/2021,OK,4089
2/17/2021,OR,2138
2/17/2021,PA,23319
2/17/2021,PR,1930
2/17/2021,RI,2352
2/17/2021,SC,8117
2/17/2021,SD,1844
2/17/2021,TN,10985
2/17/2021,TX,40717
2/17/2021,UT,1806
2/17/2021,VA,7075
2/17/2021,VI,25
2/17/2021,VT,191
2/17/2021,WA,4709
2/17/2021,WI,6798
2/17/2021,WV,2225
2/17/2021,WY,662
2/16/2021,AK,287
2/16/2021,AL,9257
2/16/2021,AR,5287
2/16/2021,AS,0
2/16/2021,AZ,14981
2/16/2021,CA,47107
2/16/2021,CO,5828
2/16/2021,CT,7449
2/16/2021,DC,982
2/16/2021,DE,1291
2/16/2021,FL,29659
2/16/2021,GA,16174
2/16/2021,GU,130
2/16/2021,HI,426
2/16/2021,IA,5263
2/16/2021,ID,1803
2/16/2021,IL,22199
2/16/2021,IN,12231
2/16/2021,KS,4406
2/16/2021,KY,4318
2/16/2021,LA,9325
